SERIAL NUMBER,VIOLATION STATUS, VIOLATION CODE,VIOLATION DESCRIPTION
DA4579095,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT
DA4579095,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4579095,OUT OF COMPLIANCE,RH11,VENTILATION - UNIT
DA4579774,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES
DA4579879,OUT OF COMPLIANCE,RH03,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4579879,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT
DA4579879,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT
DA4579879,OUT OF COMPLIANCE,RH45,OTHER INSECTS - UNIT
DA4579879,OUT OF COMPLIANCE,RH49,HEATING SYSTEM - UNIT
DA4580009,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT
DA4580009,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT
DA4582406,OUT OF COMPLIANCE,RH44,RODENTS - PREMISES
DA4582406,OUT OF COMPLIANCE,RH04,WALL/CEILING/FLOOR - GENERAL - PREMISES
DA4582406,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA4582713,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA4583080,OUT OF COMPLIANCE,RH25,SEWER/DRAIN LINES - UNIT
DA4583080,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA4580369,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4580369,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT
DA4580369,OUT OF COMPLIANCE,RH53,"COUNTER, CABINETS, VANITIES, VANITIES SHELVING, ETC. - UNIT"
DA4580385,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT
DA4580553,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT
DA4580553,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT
DA4580553,OUT OF COMPLIANCE,RH53,"COUNTER, CABINETS, VANITIES, VANITIES SHELVING, ETC. - UNIT"
DA4580553,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4580553,OUT OF COMPLIANCE,RH33,TOILET TANK/BASE/BOWL - UNIT
DA4580553,OUT OF COMPLIANCE,H013,WIRING - UNIT
DA4580553,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT
DA4580957,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4580957,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA4581195,OUT OF COMPLIANCE,H031,CAST-OFFS/DEBRIS/WASTE - UNIT
DA4581645,OUT OF COMPLIANCE,P021,POOL WATER QUALITY - CLOUDY / TURBID / GREEN
DA4581661,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT
DA4581764,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4581764,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT
DA4582057,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4582057,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT"
DA4582057,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT
DA4582355,OUT OF COMPLIANCE,H011,COVER PLATES - UNIT
DA4582568,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4582568,OUT OF COMPLIANCE,RH33,TOILET TANK/BASE/BOWL - UNIT
DA4582683,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES
DA4582822,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT
DA4582995,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT
DA4582995,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4584971,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT
DA4584971,OUT OF COMPLIANCE,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES
DA4586169,HOUSING NON-CRITICAL,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES
DA4584676,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
DA4584676,OUT OF COMPLIANCE,RH39, COCKROACHES - UNIT
DA4584676,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT
DA4584676,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT
DA4584734,OUT OF COMPLIANCE,H007,WATER LINE - UNIT
DA4584802,OUT OF COMPLIANCE,H042,NO WATER - UNIT
DA4584840,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES
DA4585893,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT
DA4585893,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT
